eventName,errorCode,action,status
DeleteUser,AccessDenied,deleted,failure
DeleteUser,success,deleted,success
DeleteUser,*,deleted,failure
DeleteUserPolicy,AccessDenied,modified,failure
DeleteUserPolicy,success,modified,success
DeleteUserPolicy,*,modified,failure
PutUserPolicy,AccessDenied,modified,failure
PutUserPolicy,success,modified,success
PutUserPolicy,*,modified,failure
CreateUser,AccessDenied,created,failure
CreateUser,success,created,success
CreateUser,*,created,failure
CreateSecurityGroup,Client.UnauthorizedOperation,created,failure
CreateSecurityGroup,success,created,success
CreateSecurityGroup,*,created,failure
RevokeSecurityGroupIngress,Client.UnauthorizedOperation,deleted,failure
RevokeSecurityGroupIngress,success,deleted,success
RevokeSecurityGroupIngress,*,deleted,failure
AuthorizeSecurityGroupIngress,Client.UnauthorizedOperation,modified,failure
AuthorizeSecurityGroupIngress,success,modified,success
AuthorizeSecurityGroupIngress,*,modified,failure
